SAP Linkage No,Sales Order No,Sales Order Item No,Model,P/O  No.,"Customer's
P/O No.","End user
Country
Code",Qty,"Estimated
FOB","YHQ
Sales
Date",Remarks,MS Code,"Acknowledgment
Ex-Uenohara","Qty
Ex-Uenohara",YMG's Note
1006373095000040,2007531691,000040,F9275ED,4509232091,4509232091,IN,50,2021/09/09,2021/11/05,,F9275ED,,,-
1006404396000070,2007564043,000070,D0117XL-A,4509271442,4509271442,IN,600,2021/11/16,2021/11/19,,D0117XL-A,,,-
1006404396000080,2007564043,000080,D0117XL-A,4509271442,4509271442,IN,600,2021/11/16,2021/11/26,,D0117XL-A,,,-
1006404396000090,2007564043,000090,D0117XL-A,4509271442,4509271442,IN,600,2021/11/16,2021/12/01,,D0117XL-A,,,-
1006410415000080,2007570111,000080,C2051FD-21,4509278528,4509278528,IN,1,2022/01/14,,,C2051FD-21,,,-
1006410416000080,2007570113,000080,F9921AE,4509278529,4509278529,IN,10,2021/11/22,2021/11/12,,F9921AE,,,-
1006455887000010,2007613407,000010,F9900TB,4509330851,4509330851,IN,2016,2021/11/03,2021/11/15,,F9900TB,,,-
1006491660000030,2007651957,000030,A1462CC,4509373735,4509373735,IN,10800,2021/11/15,2021/11/12,,A1462CC,2021/12/13,,4509376530-00010
1006510747000050,2007667025,000050,F9341JZ,4509393736,4509393736,IN,1000,2021/11/10,2021/11/05,,F9341JZ,,,-
1006532433000230,2007689514,000220,F9341JZ,4509420240,4509420240,IN,1000,2021/11/15,2021/11/12,,F9341JZ,,,-
1006554234000050,2007710212,000050,F9910LS,4509447649,4509447649,IN,1120,2021/11/15,2021/11/12,,F9910LS,,,-
1006555513000120,2007711642,000120,F9273CZ,4509449294,4509449294,IN,3000,2021/12/23,,,F9273CZ,2021/12/17,,4509627470-00010
1006565451000070,2007722253,000070,F9299ZZ,4509461935,4509461935,IN,5,2021/12/13,2021/12/08,,F9299ZZ,,,-
1006581409000090,2007737883,000010,F9920LU,4509480012,4509480012,IN,60,2021/11/15,2021/11/10,,F9920LU,,,-
1006587704000020,2007744053,000020,F9920BN,4509487355,4509487355,IN,180,2021/11/10,2021/11/10,,F9920BN,,,-
1006590396000050,2007746479,000050,F9275ED,4509489725,4509489725,IN,50,2021/10/25,2021/11/17,,F9275ED,,,-
1006590397000040,2007746478,000040,F9913TS,4509489726,4509489726,IN,180,2021/11/11,2021/11/15,,F9913TS,,,-
1006590397000050,2007746478,000050,F9913TS,4509489726,4509489726,IN,180,2021/11/11,2021/11/15,,F9913TS,,,-
1006590397000060,2007746478,000060,F9913TS,4509489726,4509489726,IN,180,2021/11/11,2021/11/15,,F9913TS,,,-
1006590397000070,2007746478,000070,F9913TS,4509489726,4509489726,IN,180,2021/11/12,2021/11/15,,F9913TS,,,-
1006590397000080,2007746478,000080,F9913TS,4509489726,4509489726,IN,180,2021/11/12,2021/11/15,,F9913TS,,,-
1006590397000090,2007746478,000090,F9913TS,4509489726,4509489726,IN,180,2021/11/12,2021/11/15,,F9913TS,,,-
1006590397000100,2007746478,000100,F9913TS,4509489726,4509489726,IN,180,2021/11/25,2021/11/25,,F9913TS,,,-
1006590397000110,2007746478,000110,F9913TS,4509489726,4509489726,IN,180,2021/11/25,2021/11/25,,F9913TS,,,-
1006590397000120,2007746478,000120,F9913TS,4509489726,4509489726,IN,180,2021/11/25,2021/11/25,,F9913TS,,,-
1006590397000130,2007746478,000130,F9913TS,4509489726,4509489726,IN,180,2021/11/25,2021/11/25,,F9913TS,,,-
1006590397000140,2007746478,000140,F9913TS,4509489726,4509489726,IN,180,2021/11/25,2021/11/25,,F9913TS,,,-
1006590397000150,2007746478,000150,F9913TA,4509489726,4509489726,IN,180,2021/11/12,2021/11/15,,F9913TA,,,-
1006590397000160,2007746478,000160,F9913TA,4509489726,4509489726,IN,180,2021/11/12,2021/11/15,,F9913TA,,,-
